ngram,Intensity/max.value,ST/max.value,SP/max.value
뒤떨어지/VV,Medium,Judgment,POS
뒤섞이/VV,Low,Emotion,POS
뒤섞이/VV;ㄴ/ETM,Low,Speculation,POS
뒤섞이/VV;ㄴ/ETM;기색/NNG,Low,Emotion,NEG
뒤흔들/VV,Medium,Argument,POS
뒤흔들/VV;지/EC,Medium,Argument,POS
뒤흔들/VV;지/EC;못하/VX,Medium,Argument,POS
뒷맛/NNG,Medium,Emotion,POS
뒷맛/NNG;이/JKS,Medium,Judgment,POS
뒷맛/NNG;이/JKS;씁쓸/XR,Medium,Emotion,POS
뒷받침/NNG,High,Judgment,NEG
뒷받침/NNG;되/XSV,High,Argument,POS
뒷받침/NNG;되/XSV;지/EC,High,Judgment,POS
뒷받침/NNG;이/JKS,Medium,Argument,POS
뒷받침/NNG;이/JKS;없/VA,Medium,Judgment,POS
뒷받침/NNG;하/XSV,High,Agreement,POS
드디어/MAG,None,Others,NEG
드러나/VV,High,Judgment,POS
드러내/VV,Medium,Judgment,POS
드물/VA,Medium,Judgment,COMP
드물/VA;ㄴ/ETM,Medium,Argument,POS
드물/VA;ㄴ/ETM;일/NNG,Medium,Judgment,POS
드물/VA;어서/EC,Medium,Argument,POS
드물/VA;어서/EC;그동안/NNG,Medium,Judgment,POS
득세/NNG,Medium,Judgment,COMP
든/EC,High,Argument,POS
든/EC;좋/VA,Medium,Judgment,NEG
든/EC;좋/VA;아서/EC,Medium,Argument,POS
든지/EC,Medium,Argument,POS
든지/EC;머리/NNG,Medium,Judgment,NEG
든지/EC;머리/NNG;가/JKS,Medium,Argument,POS
든지/EC;자유/NNG,Medium,Judgment,POS
든지/EC;자유/NNG;롭/XSA,Medium,Argument,POS
든지/EC;현실/NNG,High,Judgment,POS
든지/EC;현실/NNG;화/XSN,High,Judgment,POS
듣/VV,Medium,Argument,NEG
듣/VV;거나/EC,Medium,Judgment,POS
듣/VV;었/EP,Medium,Argument,POS
듣/VV;었/EP;어요/EC,Medium,Argument,POS
들/VV,Medium,Argument,NEG
들/VV;거나/EC,Medium,Judgment,POS
들/VV;거나/EC;의식/NNG,Medium,Argument,NEG
들/VV;고/EC,Medium,Judgment,NEG
들/VV;고/EC;있/VX,Medium,Argument,POS
들/VV;던/ETM,Low,Argument,NEG
들/VV;던/ETM;생활/NNG,Low,Argument,POS
들/VV;어/EC,Medium,Judgment,POS
들/VV;어/EC;미국/NNP,Medium,Argument,POS
들/VV;어/EC;주/VX,Medium,Argument,POS
들/VV;어야/EC,Medium,Argument,POS
들/VV;어야/EC;하/VX,Medium,Argument,POS
들/VV;지/EC,Low,Judgment,NEG
들/VV;지/EC;않/VX,Low,Argument,POS
들/VV;지만/EC,Medium,Judgment,POS
들/VV;지만/EC;이/MM,Medium,Argument,POS
들/VX,Medium,Argument,NEUT
들/VX;ㄹ/ETM,Medium,Argument,NEG
들/VX;ㄹ/ETM;생각/NNG,Medium,Argument,POS
들/XSN,Medium,Argument,NEG
들/XSN;과*/JKB,Medium,Argument,NEG
들/XSN;과*/JKB;공식/NNG,Medium,Judgment,POS
들/XSN;그러/VV,Medium,Intention,POS
들/XSN;그러/VV;어/EC,Medium,Argument,POS
들/XSN;기능/NNG,Medium,Judgment,POS
들/XSN;기능/NNG;을/JKO,Medium,Judgment,POS
들/XSN;까지/JX,Medium,Argument,POS
들/XSN;까지/JX;참여/NNG,Medium,Judgment,POS
들/XSN;께/JKB,Medium,Argument,POS
들/XSN;도/JX,Medium,Emotion,POS
들/XSN;도/JX;여성/NNG,Medium,Argument,NEG
들/XSN;따르/VV,Medium,Argument,POS
들/XSN;따르/VV;아/EC,Medium,Argument,COMP
들/XSN;로/JKB,Medium,Emotion,NEG
들/XSN;로/JKB;점점/MAG,Medium,Argument,POS
들/XSN;만/JX,Medium,Judgment,POS
들/XSN;만/JX;이/JKS,Medium,Argument,POS
들/XSN;보다/JKB,High,Judgment,POS
들/XSN;보다/JKB;더/MAG,High,Judgment,POS
들/XSN;보다/JKB;오히려/MAG,Medium,Judgment,POS
들/XSN;사이/NNG,Medium,Judgment,POS
들/XSN;사이/NNG;에/JKB,Medium,Argument,POS
들/XSN;상상/NNG,Medium,Judgment,NEG
들/XSN;상상/NNG;의/JKG,Medium,Judgment,POS
들/XSN;앞/NNG,Medium,Argument,NEG
들/XSN;앞/NNG;에서/JKB,Medium,Argument,POS
들/XSN;에/JKB,Medium,Argument,POS
들/XSN;에/JKB;대하/VV,Medium,Judgment,POS
들/XSN;에게/JKB,Medium,Argument,POS
들/XSN;에게/JKB;나/NP,Medium,Argument,POS
들/XSN;에게/JKB;들리/VV,Medium,Judgment,POS
들/XSN;에게/JKB;먹/VV,Low,Judgment,POS
들/XSN;에게/JKB;소개/NNG,Medium,Argument,POS
들/XSN;에게/JKB;적극/NNG,Medium,Judgment,POS
들/XSN;은/JX,Low,Judgment,POS
들/XSN;은/JX;무슨/MM,Low,Argument,POS
들/XSN;을/JKO,Medium,Argument,POS
들/XSN;을/JKO;기냥/MAG,Medium,Argument,POS
들/XSN;을/JKO;나누/VV,Medium,Argument,POS
들/XSN;을/JKO;다시/MAG,Medium,Argument,POS
들/XSN;을/JKO;데리/VV,Medium,Argument,NEG
들/XSN;을/JKO;믿/VV,Medium,Judgment,NEG
들/XSN;을/JKO;수없이/MAG,Low,Judgment,POS
들/XSN;의/JKG,Medium,Argument,POS
들/XSN;의/JKG;곁/NNG,Medium,Argument,POS
들/XSN;의/JKG;고달프/VA,Medium,Argument,POS
들/XSN;의/JKG;박수/NNG,Medium,Judgment,POS
들/XSN;의/JKG;사용/NNG,Medium,Judgment,POS
들/XSN;의/JKG;색깔/NNG,Medium,Judgment,POS
들/XSN;의/JKG;신기/NNG,Medium,Judgment,POS
들/XSN;의/JKG;자신만만/XR,Medium,Judgment,POS
들/XSN;의/JKG;즐겁/VA,Medium,Judgment,POS
들/XSN;의/JKG;지갑/NNG,Medium,Judgment,POS
들/XSN;의/JKG;집단/NNG,Medium,Judgment,NEG
들/XSN;의/JKG;책임자/NNG,Low,Argument,NEG
들/XSN;의/JKG;회화/NNG,Low,Judgment,POS
들/XSN;이/JKS,Medium,Agreement,POS
들/XSN;이/JKS;가족/NNG,Medium,Argument,POS
들/XSN;이/JKS;갇히/VV,Medium,Argument,POS
들/XSN;이/JKS;골고루/MAG,Medium,Judgment,POS
들/XSN;이/JKS;기쁘/VA,Medium,Judgment,POS
들/XSN;이/JKS;다/MAG,Medium,Argument,POS
들/XSN;이/JKS;많/VA,Medium,Argument,POS
들/XSN;이/JKS;많이/MAG,Medium,Argument,NEG
들/XSN;이/JKS;머리/NNG,Low,Argument,NEG
들/XSN;이/JKS;모이/VV,Medium,Argument,POS
들/XSN;이/JKS;무엇/NP,Medium,Argument,POS
들/XSN;이/JKS;서울/NNP,Low,Argument,POS
들/XSN;이/JKS;아이/NNG,Medium,Argument,POS
들/XSN;이/JKS;접근/NNG,Medium,Judgment,POS
들/XSN;이/JKS;제아무리/MAG,Medium,Argument,POS
들/XSN;이/JKS;주로/MAG,Low,Argument,POS
들/XSN;이/JKS;찾아오/VV,Medium,Judgment,COMP
들/XSN;이/JKS;하/VV,Medium,Argument,COMP
들/XSN;이/JKS;항생/NNG,Low,Argument,POS
들/XSN;이/VCP,High,Judgment,POS
들/XSN;처지/NNG,Medium,Argument,POS
들/XSN;처지/NNG;에서/JKB,Medium,Argument,POS
들/XSN;투성이/XSN,Medium,Argument,NEG
들/XSN;투성이/XSN;이/VCP,Medium,Argument,POS
들/XSN;하고*/JC,Low,Argument,POS
들리/VV,Medium,Judgment,NEG
들리/VV;ㄴ/ETM,Medium,Argument,NEG
들리/VV;ㄴ/ETM;연기/NNG,Medium,Judgment,POS
들썩거리/VV,Medium,Judgment,POS
들썩거리/VV;게/EC,Medium,Argument,NEG
들썩거리/VV;게/EC;하/VX,Medium,Judgment,POS
들어가/VV,Medium,Argument,POS
들어가/VV;는/ETM,Medium,Argument,POS
들어가/VV;는/ETM;까닭/NNG,Medium,Argument,POS
들어가/VV;는/ETM;문/NNG,Medium,Argument,NEG
들어가/VV;는/ETM;통로/NNG,Medium,Argument,NEG
들어오/VV,Low,Argument,POS
들어오/VV;는/ETM,Low,Judgment,POS
들어오/VV;는/ETM;주방/NNG,Low,Argument,POS
들이/VV,Medium,Judgment,POS
들이/VV;고/EC,Medium,Argument,COMP
들이/VV;고/EC;걷/VV,Medium,Judgment,POS
들치/VV,High,Judgment,POS
들치/VV;어/EC,High,Argument,POS
들치/VV;어/EC;업/VV,High,Judgment,NEG
듬뿍/MAG,High,Judgment,POS
듬뿍/MAG;안/VV,High,Argument,POS
듬뿍/MAG;치/VV,Medium,Judgment,NEG
듯/EC,None,Judgment,POS
듯/EC;녹음/NNG,Medium,Argument,POS
듯/EC;녹음/NNG;하/XSV,Medium,Judgment,NEG
듯/NNB,Medium,Judgment,POS
듯/NNB;가파르/VA,Medium,Judgment,NEG
듯/NNB;가파르/VA;고/EC,Medium,Argument,POS
듯/NNB;배우/NNG,Medium,Judgment,NEG
듯/NNB;배우/NNG;들/XSN,Medium,Judgment,POS
듯/NNB;하/XSA,Low,Argument,POS
듯/NNB;하/XSA;ㄴ/ETM,Low,Argument,POS
등/NNB,Medium,Argument,POS
등/NNB;기획물/NNG,Medium,Argument,POS
등/NNB;기획물/NNG;비디오/NNG,Medium,Argument,POS
등/NNB;디테일/NNG,Low,Argument,POS
등/NNB;디테일/NNG;에/JKB,Low,Argument,POS
등/NNB;불순/NNG,Medium,Argument,POS
등/NNB;불순/NNG;분자/NNG,Medium,Judgment,POS
등/NNB;사람/NNG,Medium,Argument,POS
등/NNB;사람/NNG;들/XSN,Medium,Argument,NEG
등/NNB;상/NNG,Low,Argument,POS
등/NNB;상/NNG;을/JKO,Low,Judgment,NEG
등/NNB;심장/NNG,Medium,Judgment,POS
등/NNB;심장/NNG;질환/NNG,Medium,Argument,POS
등/NNB;으로/JKB,Medium,Argument,NEG
등/NNB;으로/JKB;확인/NNG,Medium,Argument,POS
등/NNB;을/JKO,Medium,Argument,COMP
등/NNB;을/JKO;단행/NNG,Medium,Judgment,POS
등/NNB;을/JKO;아끼/VV,Medium,Judgment,POS
등/NNB;을/JKO;키우/VV,Low,Argument,POS
등/NNB;이/JKS,Medium,Judgment,POS
등/NNB;이/JKS;일어나/VV,Medium,Argument,POS
등급/NNG,High,Agreement,POS
등급/NNG;분류/NNG,High,Argument,POS
등급/NNG;분류/NNG;를/JKO,High,Agreement,POS
등록/NNG,Low,Argument,POS
등록/NNG;대수/NNG,Low,Judgment,POS
등록/NNG;대수/NNG;가/JKS,Low,Argument,POS
등산/NNG,Medium,Argument,POS
등산/NNG;용품/NNG,Medium,Argument,NEG
등산/NNG;용품/NNG;교환전/NNG,Medium,Argument,POS
등산인/NNG,Medium,Judgment,POS
등산인/NNG;들/XSN,Medium,Judgment,POS
등산인/NNG;들/XSN;에게/JKB,Medium,Judgment,NEG
디/EC,Medium,Judgment,POS
디/EC;흔하/VA,Medium,Argument,POS
디스크/NNG,Medium,Judgment,POS
디자이너/NNG,Low,Argument,POS
디자이너/NNG;일/NNG,Low,Argument,POS
디자이너/NNG;일/NNG;을/JKO,Low,Argument,POS
디테일/NNG,Low,Argument,POS
디테일/NNG;에/JKB,Low,Argument,POS
디테일/NNG;에/JKB;많이/MAG,Low,Argument,POS
따뜻/XR,Medium,Judgment,POS
따뜻/XR;하/XSA,Medium,Judgment,POS
따뜻/XR;하/XSA;ㄴ/ETM,Medium,Judgment,POS
따라가/VV,Medium,Agreement,POS
따라서/MAJ,None,Others,POS
따로/MAG,Medium,Argument,POS
따로/MAG;식물/NNG,Medium,Judgment,POS
따로/MAG;식물/NNG;을/JKO,Medium,Argument,POS
따르/VV,Medium,Argument,POS
따르/VV;면/EC,Medium,Judgment,POS
따르/VV;아/EC,Medium,Argument,POS
따르/VV;아/EC;산/NNG,Medium,Argument,POS
따르/VV;아/EC;스스로/MAG,Medium,Argument,POS
따르/VV;아/EC;중국/NNP,Low,Argument,POS
따르/VV;지/EC,Medium,Argument,POS
따르/VV;지/EC;않/VX,Medium,Agreement,NEG
따리/VV,High,Argument,POS
따리/VV;어/EC,High,Argument,POS
따리/VV;어/EC;하/VX,High,Argument,NEG
따위/NNB,Low,Others,POS
따위/NNB;는/JX,Low,Judgment,POS
따위/NNB;는/JX;없/VA,Low,Others,NEG
따지/VV,Medium,Judgment,POS
따지/VV;어/EC,Medium,Judgment,POS
따지/VV;어/EC;보/VX,Medium,Judgment,POS
딱하/VA,Low,Emotion,POS
딸/NNG,Medium,Argument,POS
딸/NNG;의/JKG,Medium,Judgment,POS
딸/NNG;의/JKG;재롱떨*/VV,Medium,Argument,POS
땀/NNG,High,Judgment,POS
땀/NNG;을/JKO,High,Judgment,POS
땀/NNG;을/JKO;흘리/VV,High,Judgment,POS
땅/NNG,Medium,Judgment,POS
땅/NNG;과/JC,Medium,Judgment,POS
땅/NNG;과/JC;하늘/NNG,Medium,Judgment,POS
때/NNG,Medium,Argument,POS
때/NNG;경보/NNG,Medium,Argument,POS
때/NNG;경보/NNG;도/JX,Medium,Judgment,POS
때/NNG;는/JX,Medium,Judgment,POS
때/NNG;는/JX;살/VV,Medium,Argument,POS
때/NNG;는/JX;햇곡식/NNG,Medium,Argument,POS
때/NNG;는/JX;협심증/NNG,Medium,Argument,POS
때/NNG;도/JX,Low,Judgment,POS
때/NNG;도/JX;있/VV,Low,Argument,POS
때/NNG;묻/VV,Medium,Argument,POS
때/NNG;묻/VV;고/EC,Medium,Argument,POS
때/NNG;여성/NNG,Low,Argument,POS
때/NNG;여성/NNG;의/JKG,Low,Argument,POS
때/NNG;와/JC,Medium,Judgment,POS
때/NNG;와/JKB,Low,Argument,POS
때/NNG;와/JKB;크/VA,Low,Judgment,POS
때/NNG;절대로/MAG,High,Judgment,POS
때/NNG;절대로/MAG;다른/MM,High,Argument,POS
때때로/MAG,Medium,Argument,POS
때때로/MAG;울컥/MAG,Medium,Argument,NEG
때려치/VV,High,Judgment,POS
때문/NNB,Medium,Judgment,POS
때문/NNB;에/JKB,Medium,Argument,NEG
때문/NNB;에/JKB;백화점/NNG,Medium,Argument,POS
때문/NNB;에/JKB;주위/NNG,Medium,Judgment,POS
때문/NNB;이/VCP,Medium,Argument,NEG
때문/NNB;이/VCP;었/EP,Medium,Argument,POS
떠나/VV,Medium,Argument,POS
떠나/VV;ㄴ/ETM,Low,Argument,POS
떠나/VV;ㄴ/ETM;뒤/NNG,Low,Argument,POS
떠나/VV;ㄴ다는/ETM,Low,Argument,POS
떠나/VV;ㄴ다는/ETM;느낌/NNG,Low,Argument,POS
떠나/VV;도록/EC,Medium,Agreement,POS
떠나/VV;도록/EC;촉구/NNG,Medium,Argument,POS
떠나/VV;았/EP,Medium,Argument,POS
떠나/VV;았/EP;네/EF,Medium,Argument,NEG
떠나/VV;지/EC,Medium,Argument,POS
떠나/VV;지/EC;않/VX,Medium,Argument,NEG
떠들/VV,Medium,Judgment,POS
떠들/VV;어/EC,Medium,Judgment,POS
떠들/VV;어/EC;대/VX,Medium,Judgment,NEG
떠오르/VV,Medium,Judgment,POS
떠오르/VV;게/EC,Medium,Judgment,POS
떠오르/VV;게/EC;하/VX,Medium,Judgment,NEG
떡/NNG,Medium,Argument,POS
떡/NNG;과/JC,Medium,Argument,POS
떡/NNG;과/JC;한과/NNG,Medium,Argument,NEG
떡/NNG;을/JKO,Medium,Argument,POS
떡/NNG;을/JKO;만들/VV,Medium,Argument,POS
떨/VV,Medium,Judgment,POS
떨/VV;거나/EC,Medium,Judgment,POS
떨/VV;거나/EC;목소리/NNG,Medium,Judgment,POS
떨리/VV,Medium,Emotion,POS
떨어지/VV,High,Judgment,POS
떨어지/VV;ㄴ/ETM,Medium,Argument,NEG
떨어지/VV;ㄴ/ETM;곳/NNG,Medium,Judgment,POS
떨어지/VV;지/EC,High,Argument,NEG
떨어지/VV;지/EC;않/VX,High,Judgment,POS
떨치/VV,Medium,Judgment,POS
떨치/VV;어/EC,Medium,Agreement,POS
떨치/VV;어/EC;버리/VV,Medium,Judgment,NEG
떼/VV,Medium,Argument,POS
떼/VV;어/EC,Medium,Argument,POS
떼/VV;어/EC;놓/VX,Medium,Argument,NEG
또/MAG,Medium,Judgment,NEG
또/MAG;눈물/NNG,Medium,Others,POS
또/MAG;눈물/NNG;이/JKS,Medium,Argument,NEG
또/MAG;다른/MM,Medium,Judgment,POS
또/MAG;다른/MM;이름/NNG,Medium,Argument,NEG
또/MAG;다른/MM;재미/NNG,Medium,Judgment,NEG
또/MAG;이렇/VA,None,Argument,POS
또/MAG;이렇/VA;게/EC,None,Judgment,NEG
또는/MAG,Medium,Judgment,NEG
또는/MAG;공짜/NNG,Medium,Argument,POS
또는/MAG;공짜/NNG;로/JKB,Medium,Judgment,NEG
또래/NNG,Medium,Argument,NEG
또래/NNG;상담/NNG,Medium,Judgment,POS
또한/MAG,None,Others,COMP
똑같/VA,Medium,Argument,COMP
똑같/VA;은/ETM,Medium,Judgment,POS
똑같/VA;은/ETM;식민/NNG,Medium,Argument,NEG
똑바로/MAG,High,Argument,POS
똑바로/MAG;되/VV,High,Judgment,POS
똑바로/MAG;되/VV;어/EC,High,Argument,NEG
뚝/MAG,Medium,Judgment,POS
뚝/MAG;떼/VV,Medium,Argument,POS
뚫/VV,Medium,Argument,POS
뚫/VV;고/EC,Medium,Argument,POS
뚫/VV;고/EC;나가/VV,Medium,Intention,NEG
뚫/VV;고/EC;들어가/VV,Medium,Argument,POS
뛰/VV,High,Argument,POS
뛰/VV;어/EC,Medium,Argument,NEG
뛰/VV;어/EC;들/VX,Medium,Argument,POS
뛰어나/VA,High,Judgment,POS
뛰어나/VA;ㄴ/ETM,High,Argument,POS
뛰어나/VA;ㄴ/ETM;기량/NNG,High,Judgment,POS
뛰어넘/VV,Medium,Judgment,POS
뛰어다니/VV,High,Argument,POS
뛰어다니/VV;ㄴ/ETM,High,Argument,POS
뛰어다니/VV;ㄴ/ETM;일/NNG,High,Argument,NEG
뛰쳐나오/VV,Medium,Judgment,POS
뜨/VV,Medium,Judgment,POS
뜨/VV;ㄴ/ETM,Medium,Argument,POS
뜨/VV;ㄴ/ETM;눈/NNG,Medium,Judgment,NEG
뜨겁/VA,Medium,Judgment,POS
뜨겁/VA;어/EC,Medium,Judgment,POS
뜨겁/VA;어/EC;지/VX,Medium,Judgment,POS
뜨겁/VA;었/EP,Medium,Argument,POS
뜨겁/VA;었/EP;다/EF,Medium,Argument,POS
뜨겁/VA;은/ETM,Medium,Argument,POS
뜯어보/VV,Medium,Judgment,POS
뜯어보/VV;ㄹ/ETM,Medium,Argument,POS
뜯어보/VV;ㄹ/ETM;구석/NNG,Medium,Judgment,POS
뜻/NNG,Medium,Intention,POS
뜻/NNG;을/JKO,Medium,Argument,POS
뜻/NNG;을/JKO;담/VV,Medium,Intention,NEG
뜻/NNG;을/JKO;밝히/VV,Medium,Intention,NEG
뜻/NNG;이/VCP,Medium,Argument,POS
뜻/NNG;있/VV,Medium,Argument,NEG
뜻/NNG;있/VV;는/ETM,Medium,Argument,NEG
뜻/NNG;하/XSV,Medium,Argument,NEG
뜻/NNG;하/XSV;ㄴ다/EF,Medium,Argument,POS
뜻밖에/MAG,None,Others,POS
뜻밖에/MAG;도/JX,None,Judgment,POS
띄/VV,Medium,Judgment,POS
띄/VV;게/EC,High,Judgment,POS
띄/VV;게/EC;좋/VA,High,Judgment,NEG
ㄹ/ETM,Medium,Others,POS
ㄹ/ETM;가능/NNG,Low,Judgment,POS
ㄹ/ETM;가능/NNG;성/XSN,Low,Judgment,NEG
ㄹ/ETM;가능/XR,Medium,Argument,POS
ㄹ/ETM;가능/XR;성/XSN,Medium,Speculation,NEG
ㄹ/ETM;거/NNB,Medium,Argument,POS
ㄹ/ETM;거/NNB;같/VA,Medium,Speculation,NEG
ㄹ/ETM;것/NNB,None,Judgment,POS
ㄹ/ETM;것/NNB;으로/JKB,Medium,Speculation,NEG
ㄹ/ETM;것/NNB;을/JKO,Medium,Argument,NEG
ㄹ/ETM;것/NNB;이/JKS,Low,Judgment,NEG
ㄹ/ETM;것/NNB;이/VCP,None,Others,NEG
ㄹ/ETM;경우/NNG,Medium,Argument,POS
ㄹ/ETM;경우/NNG;뇌/NNG,Medium,Argument,NEG
ㄹ/ETM;계획/NNG,Low,Argument,POS
ㄹ/ETM;계획/NNG;이/VCP,Low,Intention,NEG
ㄹ/ETM;공산/NNG,High,Judgment,POS
ㄹ/ETM;공산/NNG;은/JX,High,Speculation,NEG
ㄹ/ETM;구석/NNG,Medium,Judgment,POS
ㄹ/ETM;구석/NNG;이/JKS,Medium,Judgment,POS
ㄹ/ETM;기회/NNG,Medium,Judgment,POS
ㄹ/ETM;기회/NNG;를/JKO,Medium,Judgment,POS
ㄹ/ETM;날/NNG,Medium,Judgment,POS
ㄹ/ETM;날/NNG;이/JKS,Medium,Judgment,POS
ㄹ/ETM;듯/NNB,Medium,Argument,POS
ㄹ/ETM;듯/NNB;배우/NNG,Medium,Judgment,POS
ㄹ/ETM;때/NNG,Medium,Judgment,POS
ㄹ/ETM;때/NNG;는/JX,Medium,Argument,POS
ㄹ/ETM;때/NNG;도/JX,Low,Argument,POS
ㄹ/ETM;때/NNG;여성/NNG,Low,Argument,POS
ㄹ/ETM;때/NNG;와/JC,Medium,Argument,POS
ㄹ/ETM;때/NNG;절대로/MAG,High,Argument,POS
ㄹ/ETM;뜻/NNG,Medium,Argument,POS
ㄹ/ETM;뜻/NNG;을/JKO,Medium,Intention,POS
ㄹ/ETM;리/NNB,Medium,Judgment,NEG
ㄹ/ETM;리/NNB;가/JKS,Medium,Judgment,NEG
ㄹ/ETM;리/NNB;는/JX,None,Others,POS
ㄹ/ETM;만/NNB,Medium,Judgment,POS
ㄹ/ETM;만/NNB;하/XSA,Medium,Judgment,POS
ㄹ/ETM;만큼/NNB,High,Judgment,POS
ㄹ/ETM;만큼/NNB;낙천/NNG,Medium,Judgment,POS
ㄹ/ETM;만큼/NNB;인상/NNG,High,Judgment,NEG
ㄹ/ETM;부분/NNG,Medium,Speculation,POS
ㄹ/ETM;부분/NNG;이/JKS,Medium,Argument,POS
ㄹ/ETM;뿐/NNB,Medium,Judgment,POS
ㄹ/ETM;뿐/NNB;더러/JKB,None,Others,POS
ㄹ/ETM;뿐/NNB;이/VCP,Medium,Argument,POS
ㄹ/ETM;새/NNG,Medium,Argument,POS
ㄹ/ETM;새/NNG;가/JKS,Medium,Judgment,POS
ㄹ/ETM;새/NNG;없이/MAG,Medium,Judgment,POS
ㄹ/ETM;생각/NNG,Low,Argument,POS
ㄹ/ETM;생각/NNG;으로/JKB,Low,Argument,POS
ㄹ/ETM;생각/NNG;이/VCP,Medium,Argument,NEG
ㄹ/ETM;수/NNB,None,Argument,POS
ㄹ/ETM;수/NNB;가/JKS,High,Emotion,NEG
ㄹ/ETM;수/NNB;는/JX,Medium,Argument,POS
ㄹ/ETM;수/NNB;도/JX,None,Others,POS
ㄹ/ETM;수/NNB;밖에/JX,None,Others,POS
ㄹ/ETM;수/NNB;없/VA,Medium,Judgment,POS
ㄹ/ETM;수/NNB;없이/MAG,Medium,Argument,POS
ㄹ/ETM;수/NNB;있/VA,None,Argument,POS
ㄹ/ETM;수/NNB;있/VV,None,Others,POS
ㄹ/ETM;예정/NNG,Medium,Argument,POS
ㄹ/ETM;예정/NNG;이/VCP,Medium,Intention,POS
ㄹ/ETM;위험/NNG,High,Judgment,NEG
ㄹ/ETM;위험/NNG;이/JKS,High,Judgment,POS
ㄹ/ETM;의무/NNG,Low,Argument,NEG
ㄹ/ETM;의무/NNG;가/JKS,Low,Argument,POS
ㄹ/ETM;이유/NNG,High,Judgment,POS
ㄹ/ETM;이유/NNG;가/JKS,High,Argument,POS
ㄹ/ETM;일/NNG,Medium,Argument,POS
ㄹ/ETM;일/NNG;은/JX,Medium,Argument,NEG
ㄹ/ETM;전망/NNG,Low,Argument,POS
ㄹ/ETM;전망/NNG;이/VCP,Low,Speculation,NEG
ㄹ/ETM;정도/NNG,Medium,Judgment,POS
ㄹ/ETM;정도/NNG;이/VCP,None,Judgment,NEG
ㄹ/ETM;집/NNG,Medium,Judgment,POS
ㄹ/ETM;집/NNG;말/NNG,Medium,Argument,NEG
ㄹ/ETM;필요/NNG,Medium,Argument,POS
ㄹ/ETM;필요/NNG;는/JX,Medium,Intention,NEG
ㄹ/JKO,None,Emotion,NEG
ㄹ/JKO;하/VV,None,Judgment,POS
ㄹ/JKO;하/VV;았/EP,None,Judgment,NEG
ㄹ게요/EF,Medium,Argument,NEG
ㄹ까/EC,Low,Speculation,POS
ㄹ까/EC;보/VX,Low,Judgment,POS
ㄹ까/EC;보/VX;아/EC,Low,Argument,NEG
ㄹ까/EF,None,Argument,POS
ㄹ까요/EF,None,Others,NEG
ㄹ래/EF,None,Judgment,NEG
ㄹ수록/EC,None,Others,NEG
ㄹ지*/EC,None,Speculation,POS
ㄹ지*/EC;도/JX,None,Intention,POS
ㄹ지*/EC;도/JX;모르/VV,None,Speculation,NEG
ㄹ지/EC,Low,Judgment,POS
ㄹ지/EC;도/JX,Low,Intention,NEG
ㄹ지/EC;도/JX;모르/VV,Low,Speculation,POS
ㄹ지/EC;모르/VV,Medium,Argument,POS
ㄹ지/EC;모르/VV;ㄴ다는/ETM,Medium,Judgment,POS
라/EC,None,Others,POS
라/EC;는/ETM,None,Argument,NEG
라/EC;는/ETM;것/NNB,None,Others,POS
라/EF,Medium,Argument,POS
라고/EC,Medium,Argument,POS
라고/EC;꾸준히/MAG,Medium,Others,POS
라고/EC;꾸준히/MAG;문제/NNG,Medium,Argument,POS
라고/EC;단정/NNG,Medium,Judgment,POS
라고/EC;단정/NNG;하/XSV,Medium,Judgment,POS
라고/EC;말/NNG,Medium,Speculation,NEG
라고/EC;말/NNG;하/XSV,Medium,Argument,POS
라고/EC;번복/NNG,High,Speculation,NEG
라고/EC;번복/NNG;하/XSV,High,Argument,POS
라고/EC;생각/NNG,Low,Argument,NEG
라고/EC;생각/NNG;하/XSV,Low,Argument,POS
라고/EC;설명/NNG,Medium,Speculation,POS
라고/EC;설명/NNG;하/XSV,Medium,Argument,NEG
라고/EC;하/VV,Medium,Judgment,POS
라고/EC;하/VV;고/EC,Medium,Argument,NEG
라고/EC;하/VV;ㄹ/ETM,Medium,Judgment,POS
라고/EC;하/VV;ㄹ까/EC,Low,Argument,POS
라고/EC;하/VV;지/EC,Medium,Argument,POS
라고/JKQ,Medium,Argument,POS
라고/JKQ;말/NNG,Medium,Judgment,POS
라고/JKQ;말/NNG;하/XSV,Medium,Argument,POS
라고/JKQ;생각/NNG,Medium,Judgment,POS
라고/JKQ;생각/NNG;하/XSV,Medium,Judgment,POS
라는/ETM,Medium,Argument,POS
라는/ETM;것/NNB,None,Judgment,POS
라는/ETM;것/NNB;이/VCP,None,Others,POS
라는/ETM;대로/NNB,Medium,Argument,POS
라는/ETM;대로/NNB;나/NP,Medium,Argument,POS
라는/ETM;말/NNG,Medium,Argument,POS
라는/ETM;말/NNG;이/JKS,Medium,Judgment,POS
라는/ETM;생각/NNG,Low,Intention,POS
라는/ETM;생각/NNG;도/JX,Low,Judgment,POS
라는/ETM;생각/NNG;을/JKO,None,Others,POS
라는/ETM;식/NNB,None,Argument,POS
라는/ETM;식/NNB;으로/JKB,None,Others,POS
라는/ETM;쓰/VA,Medium,Judgment,COMP
라는/ETM;쓰/VA;ㄴ/ETM,Medium,Argument,POS
라는/ETM;이상/NNG,Medium,Argument,COMP
라는/ETM;이상/NNG;에/JKB,Medium,Judgment,POS
라니/EF,None,Emotion,POS
라니까/EF,Medium,Argument,POS
라도/EC,None,Others,POS
